,Made from,Country of origin,Region,Type,Family,Fat content,Texture,Rind,Colour,Flavour,Aroma,Vegetarian,Producers
Cacio di Bosco al Tartufo,pasteurized cow's or sheep's milk,Italy,Tuscany,"semi-firm, artisan",,55%,crumbly and firm,,ivory,"nutty, sour, sweet",strong,,Cooperativa Agricola IL FORTETO
Cacioradicchio,,Italy,Veneto,soft,,,creamy,leaf wrapped,white,"bitter, herbaceous, subtle","aromatic, fresh", no ,La Casearia Carpenedo S.r.l.
Caciotta,"cow's, goat's, sheep's or water buffalo's milk",Italy,central Italy,"semi-soft, artisan",Caciotta,,"compact, creamy and firm",natural,pale yellow,"mild, milky, sweet, tangy",strong,,
Caciotta Al Tartufo,pasteurized cow's and sheep's milk,Italy,"Umbria, Lazio","semi-soft, artisan",Caciotta,,firm,natural,ivory,"mild, tangy",earthy,,
Cacow Belle,pasteurized cow's milk,United States,Oregon,"semi-soft, artisan",Cheddar,,creamy and smooth,natural,pale yellow,"savory, spicy, sweet","aromatic, spicy",yes ,Rogue Creamery
Caerphilly,unpasteurized cow's milk,United Kingdom,"Wales, London",hard,Cheddar,48%,"crumbly, dense and firm",natural,white,"citrusy, grassy, mushroomy, salty, sour","fresh, lactic",yes ,Westcombe Dairy
Cahill's Irish Porter Cheddar,pasteurized cow's milk,Ireland,Limerick,"semi-hard, artisan",Cheddar,,creamy and firm,waxed,brownish yellow,"full-flavored, tangy",rich,yes ,Cahill's Farm Cheese
Cahill's Whiskey Cheese,pasteurized cow's milk,Ireland,Co Limerick ,"semi-hard, artisan",Cheddar,,creamy and soft,waxed,straw,"butterscotch, creamy","pecan, whiskey",,Cahill's Farm Cheese
Cairnsmore,unpasteurized sheep's milk,Scotland,Wigtownshire,"hard, artisan",Cheddar,,"crumbly, open and smooth",natural,ivory,"burnt caramel, nutty, sweet",aromatic,yes ,Galloway Farmhouse Cheese
Calcagno,pasteurized sheep's milk,Italy,Sardinia & Campania,"hard, artisan",Pecorino,,"firm, flaky and smooth",natural,pale yellow,"herbaceous, savory, sweet",herbal, no ,Casa Madaio
Calenzana (Calinzanincu),unpasteurized goat's or sheep's milk,France,Upper Corsica,"semi-soft, artisan",,,creamy,natural,pale yellow,strong,rich, no ,
California Crottin,pasteurized goat's milk,United States,California,"soft, artisan, soft-ripened",Brie,10%,"dense, dry, firm and fluffy",mold ripened ,cream,"earthy, full-flavored, pronounced, tangy",mushroom,yes ,Redwood Hill Farm & Creamery
Cambozola Grand Noir,pasteurized cow's milk,Germany,Allgäu,"semi-soft, blue-veined",Blue,,creamy,waxed,pale yellow,"sharp, sweet",aromatic,yes ,Käserei Champignon
Cambus o'May,unpasteurized cow's milk,Scotland,Aberdeenshire,"semi-hard, artisan",,,creamy,cloth wrapped,cream,sharp,strong,,The Cambus O’May Cheese Company
Camembert,unpasteurized cow's milk,France,"Normandy, Camembert","soft, artisan, soft-ripened",Camembert,45%,"chalky, runny, smooth, soft, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, milky, sweet",earthy, no ,
Camembert de Normandie,pasteurized or unpasteurized cow's milk,France,Normandy ,"soft, soft-ripened",Camembert,45%,"creamy, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, smooth",fruity,yes ,
Camembert de Portneuf,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Camembert,,"creamy, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy",aromatic,,Alexis de Portneuf
Camembert des Camarades,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Camembert,30%,"creamy, soft and soft-ripened",bloomy,ivory,"buttery, nutty, subtle, sweet","aromatic, fresh",,La Maison Alexis de Portneuf Inc.
Cameo,pasteurized goat's milk,United States,California,"semi-soft, artisan",Camembert,,"buttery, creamy and soft",bloomy,white,"creamy, smooth","floral, goaty, herbal",,Redwood Hill Farm & Creamery
Campfire,pasteurized cow's milk,United States,Port Townsend,semi-hard,Monterey Jack,,"compact, creamy, firm, open and supple",natural,ivory,"buttery, smokey , sweet",smokey, no ,Mt. Townsend Creamery
Campi,pasteurized water buffalo's milk,Italy,Lombardy,"semi-hard, artisan",,,elastic and firm,natural,ivory,"spicy, sweet",strong, no ,Azienda Agricola Gritti Bruno E Alfio S.s. Societa Agricola
Cana de Cabra,pasteurized goat's milk,Spain,Murcia,"semi-soft, soft-ripened",,,creamy,bloomy,ivory,"citrusy, creamy, mild",mild,,Forever Cheese
Canadian Cheddar,"pasteurized or unpasteurized cow's, goat's or sheep's milk",Canada,Ontario,"hard, artisan, processed",Cheddar,,crumbly and open,natural,yellow,"full-flavored, milky, salty, sharp","fresh, rich, strong", no ,Balderson Cheese Company
Canastra cheese,unpasteurized cow's milk,Brazil,"Serra da Canastra, Minas Gerais state",artisan,,,,,yellow,spicy,aromatic,,
Cancoillotte (Cancoyotte),cow's milk,France,Franche-Comté,soft,,,,,,,, no ,
Canestrato,pasteurized or unpasteurized goat's and sheep's milk,Italy,Moliterno,"hard, artisan",,30%,dense and flaky,,straw,"full-flavored, nutty, spicy","grassy, milky, strong", no ,Casa Madaio
Cantal,pasteurized or unpasteurized cow's milk,France,"Cantal, Auvergne","semi-hard, hard, artisan",,45%,"brittle, close, compact, crumbly, firm and smooth",natural,pale yellow,"buttery, milky, nutty, strong, sweet, tangy","earthy, milky, strong", no ,
Cap Cressy,goat's milk,Canada and Italy,Lombardy ,"semi-hard, artisan, smear-ripened",,,compact and dense,washed,pale yellow,"mellow, savory, sweet",lactic,,Fifth Town Artisan Cheese
Cape Vessey,pasteurized goat's milk,Canada,"Prince Edward County, Ontario","semi-soft, artisan",,,chewy and firm,washed,pale yellow,"acidic, creamy, subtle, sweet","goaty, rich, strong",,
Capra al Fieno,pasteurized goat's milk,Italy,"Treviso, Veneto","semi-soft, artisan",,,firm,natural,ivory,"strong, woody","floral, grassy",,Moro Latteria di Moro Sergio
Capra al Pepe,pasteurized goat's milk,Italy,"Treviso, Veneto","soft, artisan",,,creamy and soft,natural,pale yellow,"mild, spicy",spicy,,Moro Latteria di Moro Sergio
Caprano,pasteurized goat's milk,Canada,Quebec,"semi-hard, hard",,26%,"crumbly, open and smooth",natural,pale yellow,pronounced,"goaty, strong",yes ,La Maison Alexis de Portneuf Inc.
Capra Nouveau,unpasteurized goat's milk,England,"Chelmarsh, Bridgnorth, Shropshire",semi-soft,,,creamy and smooth,washed,ivory,"creamy, herbaceous, nutty, smooth, sweet","herbal, nutty, rich, sweet",,Brock Hall Farm Dairy
Capraricca,pasteurized goat's milk,Italy,Veneto,"soft, artisan, soft-ripened",,,"creamy, runny and supple",bloomy,white,sweet,"fresh, goaty", no ,La Casearia Carpenedo S.r.l.
Caprese di Bufala,pasteurized water buffalo's milk,Italy,Veneto,soft,,,oily and smooth,natural,straw,"herbaceous, mild, subtle, vegetal","aromatic, fresh", no ,La Casearia Carpenedo S.r.l.
Capriago,pasteurized goat's milk,United States,"Sebastopol, California","hard, artisan, brined",,,firm,washed,,"nutty, sweet","nutty, spicy",,Bohemian Creamery
Capri Blu,pasteurized goat's milk,Canada and Italy,Lombardy,"soft, blue-veined",Blue,,creamy and soft,natural,pale yellow,"creamy, subtle, sweet",goaty,,Fifth Town Artisan Cheese
Caprice ,pasteurized goat's milk,Canada and Italy,Lombardy,soft,,,creamy and smooth,natural,white,subtle,goaty,,Fifth Town Artisan Cheese
Caprice des Dieux,pasteurized cow's milk,France,Illoud (Haute-Marne),"soft, soft-ripened",,60%,creamy and smooth,bloomy,white,"buttery, nutty, smooth",fresh,yes ,Savencia Fromage & Dairy
Capricious,pasteurized goat's milk,United States,"Petaluma, California","hard, artisan",,,creamy,mold ripened ,ivory,"caramel, nutty",nutty,,Achadinha Cheese Company
Capricorn Somerset Goats Cheese,pasteurized goat's milk,England,Somerset,"soft, artisan",,,"creamy, crumbly, firm and smooth",bloomy,white,nutty,,yes ,Lactalis McLelland Ltd
Capriny,pasteurized goat's milk,Canada,Quebec,soft,,,creamy,rindless,white,"creamy, mild, sharp, sour",goaty,,La Maison Alexis de Portneuf Inc.
Capriole Banon,pasteurized goat's milk,United States,"Greenville, Indiana ","soft, artisan",,,creamy and dense,leaf wrapped,pale yellow,"citrusy, strong, sweet","aromatic, fresh, goaty", no ,Capriole Goat Cheese
Caprotto,goat's milk,Italy,Campania,"hard, artisan",,,compact,natural,straw,"sharp, spicy","floral, strong", no ,Casa Madaio
Carabiner,unpasteurized cow's milk,United States,California,"semi-hard, artisan",,,dense and firm,natural,yellow,"nutty, salty, sweet",earthy,yes ,Weirauch Farm and Creamery
Caravane,pasteurized camel's milk,Mauritania,,"soft, artisan",,22%,creamy,bloomy,white,"salty, sweet",,yes ,Tiviski
Cardo ,pasteurized goat's milk,"England, Scotland and Wales","Timsbury, Somerset","semi-soft, artisan",,,"firm, open and runny",washed,ivory,"floral, pungent, savory",pungent,yes ,
Carlina,pasteurized cow's milk,Italy,Veneto,"fresh soft, artisan",,,creamy,bloomy,white,subtle,fresh, no ,La Casearia Carpenedo S.r.l.
Carlow,unpasteurized cow's milk,Ireland,County Carlow,"semi-hard, artisan",,,firm and smooth,waxed,golden yellow,"mild, savory, spicy",,,Elizabeth Bradley @ Carlow Cheese
Carmody,pasteurized cow's milk,United States,California,"semi-hard, artisan",Gorgonzola,,firm,natural,cream,"buttery, caramel, sweet",fresh,yes ,Bellwether Farms
Carnia Altobut,unpasteurized cow's milk,Italy,Carnia,"hard, artisan",,,"compact, elastic, firm and open",natural,pale yellow,"pronounced, strong, subtle","aromatic, floral", no ,La Casearia Carpenedo S.r.l.
Caronzola ,pasteurized cow's milk,Canada,Quebec,"soft, blue-veined",Blue,,creamy,bloomy,ivory,mild,,,La Maison Alexis de Portneuf Inc.
Carre de l'Est,cow's milk,France,,soft,,,,washed,pale yellow,smokey ,, no ,
Carrot Rebel ,unpasteurized cow's milk,Austria,Sulzberg,"semi-hard, artisan",,50%,creamy,natural,orange,"creamy, fruity, nutty, sweet","aromatic, fruity, sweet",,Sulzberger Käserebellen Sennerei GmbH
Carrowholly,unpasteurized cow's milk,Ireland,Co. Mayo,"hard, artisan",Gouda,,"crumbly, crystalline, firm and smooth",waxed,yellow,"acidic, crunchy, fruity, herbaceous, mild, spicy",,yes ,Carrowholly Cheese
Carr Valley Glacier Wildfire Blue,cow's milk,United States,Wisconsin ,"semi-soft, artisan, blue-veined",Blue,,"creamy, crumbly and soft",rindless,ivory,creamy,clean,,Carr Valley Cheese Company
Casatica,pasteurized water buffalo's milk,Italy,Lombardy,"semi-soft, artisan, soft-ripened",,,creamy and soft-ripened,bloomy,white,"creamy, subtle","aromatic, milky, pleasant, rich", no ,"Forever Cheese, Quattro Portoni"
Casciotta di Urbino,pasteurized cow's and sheep's milk,Italy,Pesaro-Urbino,"semi-soft, artisan",Caciotta,45%,"creamy, crumbly and open",waxed,straw,"acidic, milky, nutty","grassy, pleasant", no ,Caseificio Val D’Apsa
Cashel Blue,pasteurized cow's milk,Ireland,County Tipperary,"semi-soft, artisan, blue-veined",Blue,54%,"creamy, crumbly and grainy",natural,blue,"acidic, buttery, spicy, strong","pungent, strong",yes ,Cashel Blue™ & Crozier Blue Cheeses
Cashew Nut Cream Cheese ,,United States,Brooklyn NY,"soft, artisan",,,"creamy, smooth, soft and spreadable",,white,"creamy, nutty, sweet","clean, fresh, nutty",yes ,Dr. Cow Tree Nut Cheese
Castelmagno,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Italy,Piedmont,semi-hard,Blue,34.2 g/100g,"crumbly, dense and grainy",washed,ivory,"sharp, spicy, strong",strong, no ,
Castelo Branco,goat's and sheep's milk,Portugal,"Castelo Branco, Fundão and Idanha-a-Nova","semi-soft, artisan",,45%,"brittle, creamy, crumbly, firm and smooth",natural,pale yellow,"sour, spicy, tangy",aromatic,yes ,
Castigliano,"pasteurized or unpasteurized cow's, goat's and sheep's milk",Spain,Castile-Leon,hard,,,firm,natural,yellow,"acidic, salty, spicy",rich, no ,
Castle Blue,pasteurized cow's milk,Canada,British Columbia,"semi-soft, blue-veined, soft-ripened",Brie,,buttery and creamy,natural,cream,"creamy, piquant, sweet","earthy, rich", no ,The Farm House Natural Cheeses
Casu marzu,sheep's milk,France and Italy,"Sardinia (Italy), Southern Corsica (France)","soft, soft-ripened",,,soft-ripened,natural,,,,,
Cathelain,cow's milk,France,,soft,,,smooth,,,sour,, no ,
Catupiry,cow's milk,Brazil,Minas Gerais State ,"soft, processed",,,creamy and spreadable,,white,"creamy, mild, milky","fresh, milky", no ,
Cave Aged Marisa,sheep's milk,United States,Wisconsin,"semi-hard, artisan",,,firm,natural,pale yellow,"sweet, tangy",sweet,,Carr Valley Cheese Company
Caveman Blue,unpasteurized cow's milk,United States,Oregon,"semi-hard, blue-veined",Blue,,"buttery, dense and firm",natural,pale yellow,"buttery, fruity, sweet","fresh, grassy",,Rogue Creamery
Cave Rebel,unpasteurized cow's milk,Austria,Sulzberg,"hard, artisan",,50%,"compact, crumbly, firm and open",natural,pale yellow,"creamy, grassy","aromatic, nutty",,Sulzberger Käserebellen Sennerei GmbH
Cayuga Blue,goat's milk,United States,NY,"semi-hard, blue-veined",Blue,,compact,bloomy,ivory,creamy,"mild, rich",yes ,Lively Run Goat Dairy
Cello Thick & Smooth Mascarpone,pasteurized cow's milk,United States,,"fresh soft, processed",,,"buttery, creamy, firm and smooth",rindless,white,"creamy, milky, sweet","fresh, milky",yes ,Cello - Arthur Schuman Inc.
Celtic Promise,unpasteurized cow's milk,United Kingdom,"Ceredigion, Wales","semi-soft, artisan, smear-ripened",,48%,creamy,washed,yellow,"fruity, full-flavored",pungent,yes ,Teifi Farmhouse Cheese
Cendre des Pres,pasteurized cow's milk,Canada,Quebec,"soft, artisan, soft-ripened",Brie,27%,"buttery, creamy and soft",bloomy,ivory,"acidic, buttery, creamy, fruity, mushroomy","aromatic, buttery, floral, lactic, mushroom, woody",,Fromagerie Domaine Féodal inc.
Cendre d'Olivet,cow's milk,France,Centre-Val de Loire,"soft, artisan",,45%,smooth and supple,natural,ivory,"mild, smooth","earthy, pungent", no ,
Cerney Pyramid,unpasteurized goat's milk,"England, Great Britain and United Kingdom",Cotswolds,"fresh soft, artisan",,,creamy,natural,white,"citrusy, lemony, mild, sweet",,yes ,
Chabichou du Poitou,unpasteurized goat's milk,France,Poitou-Charentes,"soft, semi-soft, artisan, brined",,45%,"creamy, dense, firm and spreadable",bloomy,white,"acidic, salty, savory, sweet, tangy",goaty,yes ,
Chabis de Gatine,unpasteurized goat's milk,France,Poitou-Charentes,"soft, artisan",,,firm and smooth,natural,white,"salty, sharp",goaty, no ,
Challerhocker,pasteurized cow's milk,Switzerland,"St. Gallen (canton), Tufertschwil ",hard,Swiss Cheese,,"creamy, dense and smooth",washed,pale yellow,"caramel, nutty, salty, sweet","nutty, sweet",,Käserei Tufertschwil
Champignon de Luxe Garlic,pasteurized cow's milk,Germany,Allgäu,"soft, soft-ripened",,,creamy,natural,cream,"garlicky, herbaceous","herbal, spicy",yes ,Käserei Champignon
Champignon de Luxe Pepper,pasteurized cow's milk,Germany,Allgäu,"soft, soft-ripened",,,creamy,natural,cream,"creamy, sharp",spicy,yes ,Käserei Champignon
Champignon Mushrooom,pasteurized cow's milk,Germany,Allgäu,"soft, soft-ripened",,,creamy,natural,cream,"creamy, mushroomy","fresh, mild",yes ,Käserei Champignon
Chaource,cow's milk,France,Aube ,"soft, soft-ripened",,25%,"creamy, crumbly and soft-ripened",,cream,"buttery, milky",, no ,
Chapman's Pasture,cow's milk,United States,Vermont ,semi-hard,Parmesan,,grainy,washed,ivory,"sharp, sweet","strong, sweet", no ,Parish Hill Creamery
Charolais,cow's or goat's milk,France,Burgundy ,semi-soft,,,creamy,,,,, no ,
Chateau de Versailles,pasteurized cow's milk,Canada,Quebec,"soft, soft-ripened",Brie,,"buttery, creamy, runny, soft and soft-ripened",bloomy,ivory,"buttery, creamy",pungent,,Tre Stelle
Chaumes,pasteurized cow's milk,France,St Antoine,"soft, semi-soft, soft-ripened",,50%,"creamy, smooth, springy and supple",washed,pale yellow,"full-flavored, nutty","aromatic, strong", no ,
Chavroux,pasteurized goat's milk,France,,soft,,12%,creamy and spreadable,natural,white,"creamy, mild","fresh, goaty",,
Checkerboard Cheddar,unpasteurized cow's milk,United States,NY,"semi-hard, artisan",Cheddar,,crumbly,natural,pale yellow,"sharp, sweet, tangy",pleasant,,Muranda Cheese Company
Cheddar,pasteurized cow's milk,England,Somerset,"hard, artisan, processed",Cheddar,9 g/100g,compact and crumbly,,pale yellow,"creamy, sharp",, no ,"Grafton Village Cheese Company, West Country Farmhouse Cheesemakers, Wexford Creamery, Williams Cheese Company  , WSU Creamery"
Cheddar LaDiDa Lavender,pasteurized cow's milk,United States,Oregon,"semi-hard, artisan",Cheddar,,creamy and smooth,natural,white,"herbaceous, savory, subtle",earthy,yes ,Rogue Creamery
Cheddar with Irish Porter,pasteurized cow's milk,Ireland,Kilmallock County Limerick,"semi-hard, artisan",Cheddar,,smooth,,pale yellow,"fruity, tangy","pungent, rich",yes ,J.O.D. Foods
Cheddar with Red Wine,pasteurized cow's milk,Ireland,Kilmallock County Limerick,"semi-hard, artisan",Cheddar,,firm,,pale yellow,"fruity, tangy","fruity, rich",yes ,J.O.D. Foods
Cheese Curds,pasteurized or unpasteurized cow's milk,"Canada, India and United States",,"fresh firm, whey",Cheddar,,"firm, springy and supple",natural,white,"mild, milky, salty",fresh,,"Fromagerie St-Fidèle, La Fromagerie Boivin, Tillamook Cheese Factory"
Chelsea Blue,,Australia,"Mornington Peninsula, Melbourne",artisan,Blue,,crumbly,,,"nutty, salty, sweet","nutty, sweet",yes ,BoatShed Cheese
Cherni Vit,sheep's milk,Bulgaria,Central Balkan Mountains,"soft, brined",,,soft,mold ripened ,green,"nutty, sharp",,,
Cherokee Rose,unpasteurized cow's milk,United States,Georgia,"hard, artisan",Raclette,,"creamy, smooth and soft",natural,pale yellow,"buttery, nutty, sweet, tangy","fresh, milky",,Nature's Harmony Farm
Cheshire,pasteurized cow's milk,England and United Kingdom,"Cheshire, Denbighshire, Flintshire, Shropshire and Staffordshire",hard,,48%,crumbly and dense,cloth wrapped,orange,"full-flavored, mild, milky, tangy",aromatic,yes ,Appleby's
Chevre,pasteurized or unpasteurized goat's milk,France,,"soft, semi-soft, hard, firm",,,firm and soft,,white,"earthy, tangy, tart",,,
Chevre des neiges,pasteurized cow's and goat's milk,Canada,Quebec,fresh soft,,24%,"soft, spreadable and supple",rindless,white,"fruity, mild, nutty","aromatic, fresh, fruity",,La Maison Alexis de Portneuf Inc.
Chevre en Marinade,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",,,"creamy, crumbly, firm and oily",rindless,white,"garlicky, herbaceous, spicy","aromatic, pungent",yes ,Haystack Mountain Goat Dairy
Chevre Log,pasteurized goat's milk,United States,California,fresh soft,,,"creamy, crumbly, smooth and spreadable",rindless,white,"citrusy, creamy","fresh, mild",yes ,"Cypress Grove Chevre, Goat Lady Dairy"
Chevrotin des Aravis,unpasteurized goat's milk,France,Haute-Savoie / Upper Savoy,"soft, artisan, brined",,45%,creamy and smooth,washed,pale yellow,"full-flavored, herbaceous, sweet","aromatic, floral, goaty", no ,
Chhurpi,cow's or yak's milk,"China, Nepal and Tibet",Tibet,"soft, hard, artisan",Cottage,,crumbly and dense,natural,pale yellow,tangy,fresh,,
Childwickbury,pasteurized goat's milk,"England, Great Britain and United Kingdom","Odell, Bedfordshire","fresh soft, artisan",,,creamy and smooth,natural,white,"citrusy, lemony, mild, milky","floral, fresh, mild, milky",yes ,Childwickbury Estate
Chile Caciotta,pasteurized cow's milk,United States,Texas,"semi-soft, artisan",Monterey Jack,,creamy and smooth,waxed,straw,"creamy, mild, salty, spicy",spicy, no ,Mozzarella Company 
Chile Jack,pasteurized goat's milk,United States,Colorado,"semi-soft, artisan",Monterey Jack,,creamy,waxed,cream,"creamy, spicy, subtle, tangy",mild,yes ,Haystack Mountain Goat Dairy
Chimney Rock,pasteurized cow's milk,United States,California,soft,,,soft,bloomy,pale yellow,"earthy, piquant, savory","fruity, rich",yes ,Cowgirl Creamery
Chiriboga Blue,pasteurized cow's milk,Germany,Allgau,"semi-soft, artisan, blue-veined",Blue,,"creamy, dense, smooth and spreadable",mold ripened ,cream,"buttery, grassy, mild, sweet",mild, no ,
Chocolate Lab,pasteurized cow's milk,United States,Fairview,"hard, artisan",,,firm,washed,pale yellow,"pungent, sharp, sweet",rich,,Looking Glass Creamery
Chocolate Stout Cheddar,pasteurized cow's milk,United States,Oregon,"semi-hard, artisan",Cheddar,,firm,natural,pale yellow,"savory, sweet, tangy",buttery,yes ,Rogue Creamery
Chontaleno,pasteurized cow's milk,Mexico,,semi-hard,Parmesan,,firm,natural,white,salty,, no ,Peluso Cheese
Chorlton Blue Cheshire,cow's milk,"England, Great Britain and United Kingdom",Cheshire,"semi-soft, artisan, blue-veined",Blue,,creamy and crumbly,natural,pale yellow,"citrusy, lemony, salty",strong,,Chorlton Cheshire Cheese
Chura Kampo,yak's milk,China and Tibet,Tibet,"hard, artisan",,,"dense, dry and firm",natural,,,aromatic,,
Cilentano ai fichi,"buffalo's, cow's and sheep's milk",Italy,Calabria,"semi-soft, artisan",,,creamy,natural,cream,"creamy, fruity","nutty, sweet",,Casa Madaio
Cinerino,sheep's milk,Italy,Campania,"hard, artisan",,,flaky,ash coated,ivory,"grassy, herbaceous","herbal, nutty, woody",yes ,Casa Madaio
Cirrus,pasteurized cow's milk,United States,Port Townsend,"soft, soft-ripened",Camembert,,creamy and soft,bloomy,ivory,"acidic, buttery, milky, nutty, salty","earthy, mushroom, rich", no ,Mt. Townsend Creamery
Civray,unpasteurized goat's milk,France,,"soft, artisan",,45%,creamy and firm,natural,pale yellow,"acidic, sweet",pleasant, no ,
Classic Blue Log,pasteurized goat's milk,United States,Massachusetts,"semi-soft, artisan",,,"creamy, dense and soft",mold ripened ,cream,"creamy, tangy","clean, fresh",yes ,Westfield Farm
Classico Pecorino Senese,unpasteurized sheep's milk,Italy,Tuscany,"semi-hard, artisan",Pecorino,,"buttery, compact and firm",natural,straw,sharp,"aromatic, strong", no ,Caseificio Pinzani Srl 
Classico Riserva,unpasteurized sheep's milk,Italy,Tuscany,"hard, artisan",Pecorino,,"chalky, compact and crumbly",natural,straw,full-flavored,"aromatic, strong",,Caseificio Pinzani Srl 
Classics Fresh Mozzarella,pasteurized cow's milk,United States,Wisconsin,"soft, brined",Mozzarella,,"creamy, elastic, smooth, soft, stringy and supple",rindless,white,"acidic, mild, milky, spicy",fresh,yes ,Crave Brothers Farmstead Cheese
Clonmore,pasteurized goat's milk,Ireland,Co. Cork,"hard, artisan",Gouda,,firm and open,plastic,pale yellow,"earthy, mild, milky, nutty, smooth, sweet, tangy","goaty, strong",yes ,Tom and Lena Beggane
Coalho,pasteurized or unpasteurized cow's milk,Brazil, Northeastern Brazil,semi-hard,,,"elastic, firm and springy",natural,yellow,"acidic, salty",fresh, no ,
Coastal Cheddar,cow's milk,England,Dorset ,firm,Cheddar,,,rindless,pale yellow,"crunchy, sweet",nutty,,Ford Farm
Coeur de Camembert au Calvados,pasteurized cow's milk,France,Lower Normandy ,"soft, artisan",Camembert,45%,creamy,bloomy,ivory,"fruity, nutty","aromatic, rich", no ,Isigny Sainte Mère 
Coeur de Chevre,unpasteurized goat's milk,France,Gâtinais,"soft, soft-ripened",,,creamy,leaf wrapped,pale yellow,"salty, spicy","fresh, milky", no ,
Colby,cow's milk,United States,"Colby, Wisconsin",semi-hard,Cheddar,,"firm, open and springy",rindless,yellow,sweet,"mild, sweet", no ,
Colby-Jack,pasteurized cow's milk,United States,"Arena, Wisconsin","semi-soft, processed",Monterey Jack,,smooth,rindless,,"creamy, mild, smooth, sweet, tangy",, no ,Williams Cheese Company  
Cold Pack,pasteurized or unpasteurized cow's milk,United States,Wisconsin ,"soft, blue-veined, processed",,,"creamy, smooth and spreadable",rindless,,"full-flavored, sharp, smokey , spicy",strong,,Brunkow Cheese Factory
Colony cheese,,Brazil, Rio Grande do Sul,"semi-hard, artisan",,,"creamy, open, soft and supple",natural,pale yellow,"creamy, pungent, spicy","lactic, pungent, spicy",,
ColoRouge,pasteurized cow's milk,United States,Colorado,"soft, artisan, smear-ripened",,12%,creamy and soft,washed,white,"acidic, buttery, creamy, earthy","buttery, earthy, mild, spicy",,MouCo Cheese Company
Colston Bassett Stilton,pasteurized cow's milk,"England, Great Britain and United Kingdom",East Midlands,"semi-hard, artisan",Blue,33%,buttery and creamy,natural,cream,"buttery, fruity",, no ,Colston Bassett Dairy Limited
Comox Brie,pasteurized cow's milk,Canada,British Columbia,"soft, soft-ripened",Brie,26%,"buttery, creamy, runny, soft and soft-ripened",bloomy,ivory,"buttery, creamy","mushroom, pungent",,Natural Pastures Cheese Company
Comox Camembert ,pasteurized cow's milk,Canada,Quebec,"soft, artisan, soft-ripened",Camembert,28%,"buttery, chalky, creamy, soft, soft-ripened and supple",bloomy,pale yellow,"buttery, creamy, mushroomy","milky, mushroom, pungent",,Natural Pastures Cheese Company
Comte,unpasteurized cow's milk,France,Jura Massif ,"semi-hard, artisan",,45%,"dense, firm, grainy, open, smooth and supple",natural,pale yellow,"fruity, nutty, salty, savory, smokey , sweet",nutty, no ,"Anthony Rowcliffe & Son Ltd, Entremont, FROMAGERIES ARNAUD, President Cheese"
Comtomme,unpasteurized cow's milk,Canada,Québec,"semi-soft, artisan",Tomme,28%,firm and supple,washed,golden yellow,"buttery, fruity","buttery, fruity",,Fromagerie La Station
Conciato Al Pepe,pasteurized cow's milk,Italy,Veneto,hard,,,compact and crumbly,natural,pale yellow,"sharp, spicy",aromatic, no ,La Casearia Carpenedo S.r.l.
Condio,pasteurized cow's milk,Italy,"Piave Valley, Italy","semi-soft, artisan",,,"creamy, smooth and soft",natural,ivory,"herbaceous, mild, piquant, spicy, sweet",pungent, no ,
Connemara,cow's milk,United States,Fairview,"semi-hard, artisan",,,creamy and firm,natural,white,"fruity, mild","fruity, goaty, rich",,Looking Glass Creamery
Consider Bardwell Farm Manchester,unpasteurized goat's milk,United States,Vermont,"semi-hard, artisan",,,firm and open,natural,ivory,"nutty, tangy, woody","lactic, mushroom, woody",yes ,Consider Bardwell Farm
Coolattin Cheddar,unpasteurized cow's milk,Ireland,Co. Carlow,"hard, artisan",Cheddar,,crumbly and open,waxed,pale yellow,"fruity, nutty, sweet",, no ,Thomas and Fiona Burgess - Coolattin Cheddar 
Coolea,pasteurized cow's milk,Ireland,West Cork,"hard, artisan",Gouda,45%,"close, crumbly, crystalline, dense and firm",waxed,yellow,"buttery, full-flavored, mild, sweet",, no ,Coolea Farmhouse Cheese Limited
Cooleney,pasteurized or unpasteurized cow's milk,Ireland,Tipperary,"soft, artisan",Camembert,45%,creamy and smooth,mold ripened ,white,"bitter, buttery, mushroomy",,yes ,Cooleeney Farm
Coquetdale,pasteurized cow's milk,England,Coquet,"semi-hard, soft-ripened",,55%,creamy,natural,pale yellow,fruity,rich,yes ,Northumberland Cheese Company
Corleggy,pasteurized goat's milk,Ireland,County Cavan,"hard, artisan",,40%,,natural,,"mild, nutty",,yes ,Corleggy Cheeses
Cornish Blue,pasteurized cow's milk,England,Cornwall,"semi-soft, artisan",Blue,,buttery and dense,,,"creamy, mild, sweet","buttery, mild, sweet",yes ,Cornish Cheese Company Ltd
Cornish Brie,pasteurized cow's milk,"England, Great Britain and United Kingdom",Cornwall,"soft, artisan, soft-ripened",Brie,,creamy and soft-ripened,bloomy,yellow,"creamy, mild",,,Cornish Country Larder ltd.
Cornish Crumbly,pasteurized cow's milk,England,North Cornwall,"semi-soft, artisan",Cheddar,,chalky,mold ripened ,ivory,creamy,rich,yes ,Whalesborough Farm Foods
